Location;XYZCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
I-14-11;X;"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5";"05W6TK;9.5"
I-13-12;X;"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0";"SMMRK3;11.0"
I-09-22;X;"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0";"05W6TK;10.0"
I-10-23;X;"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0";"WRRW1W;11.0"
I-14-21;X;"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5";"WRRW1W;9.5"
I-13-22;X;"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5";"I1KDJ0;10.5"
H-10-11;X;"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0";"8N10W9;13.0"
J-09-13;X;"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5";"I1KDJ0;9.5"
J-13-11;X;"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5";"WRRW1W;10.5"
H-14-13;X;"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0";"SMMRK3;9.0"
