Location;ABCCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
D-22-13;A;"O9YFO8;7.5";"1JT1XB;15.0";"10090TO;13.0";"I1X92B;11.0";"69L9MX;10.0";"KTDZY0;12.5";"602SP2AG;10.5";"JEGRCL;10.5";"AKP0A7;6.5";"05W6TK;4.0";"8D9SAW;10.5";"6M2FJM;7.0";"602SP2AG;7.0";"JHSQHS;11.0";"8D9SAW;16.0";"2T1DJM;12.0";"56TC1Z;14.5";"05W6TK;8.5"
D-24-13;A;"LXJQVG;7.0";"CD1NU9;9.5";"UHYJ3A;9.5";"CD1NU9;6.5";"RAUDQ6;10.0";"14010TO;6.0";"602SP2AG;12.5";"WGHG3L;9.0";"8N10W9;14.5";"G8ASPE;5.5";"8D9SAW;14.5";"56TC1Z;13.0";"1JT1XB;4.0";"WRRW1W;5.5";"6M2FJM;7.5";"2T1DJM;12.5";"D05ZS7;7.5";"TBCCF7;7.5"
E-13-13;A;"I1X92B;4.0";"300FW;8.0";"WGHG3L;13.5";"8D9SAW;6.0";"V7JUQL;11.5";"8N10W9;16.0";"10090TO;8.5";"TB6WIP;15.5";"UHYJ3A;8.5";"TBCCF7;9.0";"I2B1FH;8.5";"56TC1Z;9.0";"14010TO;4.0";"KUFVRI;12.5";"8N10W9;10.0";"750FW;5.0";"JEGRCL;12.5";"300FW;13.0"
E-15-13;A;"DGAONE;4.0";"8N10W9;12.0";"LXJQVG;12.0";"JHSQHS;6.5";"I1X92B;10.0";"Z8KPP8;12.5";"750FW;8.5";"RAUDQ6;4.0";"05W6TK;7.0";"UHYJ3A;8.5";"300FW;13.0";"300FW;8.5";"AKP0A7;8.5";"WRRW1W;12.0";"8N10W9;15.5";"SSQFQA;6.5";"V7JUQL;11.0";"O9YFO8;15.5"
E-17-13;A;"1JT1XB;13.5";"WRRW1W;14.0";"SSQFQA;10.0";"2T1DJM;5.5";"9FWH2G;14.0";"KTDZY0;14.5";"KTDZY0;13.0";"V7JUQL;4.0";"1JT1XB;12.5";"9FWH2G;11.0";"5MNTT7;10.0";"AKP0A7;6.0";"TB6WIP;15.0";"CD1NU9;10.0";"ZRCYSH;14.5";"I1X92B;6.5";"5MNTT7;13.5";"300FW;7.0"
E-19-13;A;"10090TO;7.0";"TB6WIP;15.0";"RAUDQ6;12.0";"Z8KPP8;5.5";"I1X92B;13.5";"I1X92B;9.0";"JHSQHS;12.5";"WRRW1W;12.0";"JHSQHS;5.0";"8D9SAW;4.0";"I1KDJ0;11.0";"05W6TK;5.5";"V7JUQL;6.5";"JHSQHS;13.0";"G8ASPE;7.0";"10090TO;8.5";"TB6WIP;6.5";"5003DD;12.5"
E-21-13;A;"JEGRCL;9.0";"300FW;4.0";"JEGRCL;14.0";"UHYJ3A;8.5";"JHSQHS;7.0";"602SP2AG;11.0";"CD1NU9;15.0";"I1X92B;11.5";"JEGRCL;15.0";"TBCCF7;12.5";"TNAHD4;11.0";"TBCCF7;4.5";"I1KDJ0;7.5";"IA7X1P;13.5";"I1X92B;10.5";"10090TO;8.5";"WRRW1W;5.5";"602SP2AG;12.0"
E-23-13;A;"TNAHD4;12.5";"8D9SAW;9.5";"JEGRCL;6.5";"JEGRCL;11.0";"CD1NU9;6.5";"1JT1XB;14.0";"8N10W9;6.5";"14010TO;10.0";"Z8KPP8;9.0";"56TC1Z;7.0";"ZRCYSH;15.0";"8N10W9;14.0";"SSQFQA;7.0";"Z8KPP8;12.0";"8N10W9;5.5";"8D9SAW;11.0";"602SP2AG;15.0";"ZRCYSH;6.5"
D-14-21;A;"WRRW1W;14.0";"DGAONE;7.0";"AHR20O;6.5";"ZRCYSH;13.5";"AKP0A7;4.0";"KUFVRI;8.5";"2T1DJM;6.0";"I1KDJ0;11.5";"AKP0A7;15.5";"TBCCF7;7.0";"TNAHD4;7.5";"7BU1V7;14.0";"WGHG3L;15.5";"CD1NU9;14.5";"AKP0A7;8.5";"U95NWB;9.5";"V7JUQL;12.0";"602SP2AG;6.0"
D-16-21;A;"9FWH2G;8.0";"602SP2AG;11.0";"B24J86;4.5";"AKP0A7;13.5";"750FW;13.5";"TBCCF7;7.0";"5MNTT7;10.0";"UHYJ3A;4.5";"5003DD;13.0";"KUFVRI;14.0";"2T1DJM;8.5";"TNAHD4;8.5";"05W6TK;12.5";"6M2FJM;11.0";"V7JUQL;15.0";"LXJQVG;10.0";"UHYJ3A;13.5";"05W6TK;15.0"
D-18-21;A;"TBCCF7;14.5";"05W6TK;4.0";"O9YFO8;5.0";"300FW;6.0";"RAUDQ6;8.0";"U95NWB;5.5";"IA7X1P;8.5";"KUFVRI;16.0";"WRRW1W;16.0";"69L9MX;6.0";"SSQFQA;10.5";"14010TO;8.0";"W25EZN;7.0";"IA7X1P;14.0";"KUFVRI;12.0";"JEGRCL;11.5";"TB6WIP;9.5";"AHR20O;11.5"
D-20-21;A;"IA7X1P;11.0";"I1KDJ0;5.0";"Q50W5L;9.0";"I1KDJ0;14.5";"8N10W9;6.5";"14010TO;6.5";"5003DD;15.0";"14010TO;10.5";"WRRW1W;11.5";"6M2FJM;12.0";"V7JUQL;13.5";"KTDZY0;9.5";"TBCCF7;9.0";"I1X92B;5.0";"RAUDQ6;15.5";"14010TO;9.0";"8D9SAW;7.0";"WGHG3L;4.5"
D-22-21;A;"I1X92B;13.0";"JEGRCL;11.0";"14010TO;4.5";"W25EZN;10.5";"JHSQHS;7.0";"AKP0A7;6.0";"5MNTT7;12.5";"750FW;4.5";"JHSQHS;13.0";"602SP2AG;4.0";"1JT1XB;12.0";"14010TO;13.5";"CD1NU9;13.5";"Z8KPP8;16.0";"9FWH2G;14.0";"5003DD;9.0";"V7JUQL;11.0";"300FW;12.5"
D-24-21;A;"Z8KPP8;5.0";"I2B1FH;11.5";"14010TO;7.0";"05W6TK;15.5";"ZRCYSH;12.5";"JEGRCL;6.0";"D05ZS7;15.5";"AKP0A7;14.5";"O9YFO8;10.0";"AHR20O;11.5";"KTDZY0;14.0";"UHYJ3A;12.5";"Z8KPP8;7.5";"O9YFO8;6.5";"ZRCYSH;7.5";"05W6TK;8.5";"B24J86;7.0";"IA7X1P;8.5"
E-13-21;A;"AHR20O;8.0";"Z8KPP8;13.5";"602SP2AG;7.5";"Q50W5L;7.5";"2T1DJM;12.5";"XUZJ74;8.0";"8N10W9;7.5";"I1KDJ0;11.0";"DGAONE;8.0";"KTDZY0;8.0";"JEGRCL;15.0";"CD1NU9;15.5";"IA7X1P;14.0";"I1X92B;4.0";"B24J86;12.5";"7BU1V7;5.0";"6M2FJM;4.0";"TB6WIP;15.0"
E-15-21;A;"JHSQHS;7.0";"U95NWB;6.0";"RAUDQ6;4.5";"O9YFO8;7.0";"8N10W9;6.5";"6M2FJM;12.5";"SSQFQA;6.5";"56TC1Z;6.5";"7BU1V7;14.5";"8D9SAW;5.5";"5MNTT7;14.5";"CD1NU9;10.5";"V7JUQL;5.5";"I1KDJ0;11.5";"JHSQHS;4.0";"Z8KPP8;15.0";"XUZJ74;11.5";"I2B1FH;11.5"
E-17-21;A;"RAUDQ6;7.0";"6M2FJM;7.0";"UHYJ3A;14.5";"10090TO;13.0";"W25EZN;10.5";"69L9MX;11.5";"SSQFQA;10.0";"8N10W9;4.5";"5003DD;4.0";"WGHG3L;7.5";"AHR20O;4.5";"CD1NU9;14.0";"2T1DJM;13.0";"05W6TK;12.0";"5MNTT7;4.5";"7BU1V7;4.0";"Q50W5L;8.0";"Z8KPP8;9.5"
E-19-21;A;"TB6WIP;9.5";"IA7X1P;7.0";"1JT1XB;7.5";"69L9MX;13.0";"WGHG3L;12.0";"I1KDJ0;14.0";"I1X92B;9.5";"JEGRCL;6.0";"V7JUQL;7.5";"5003DD;13.5";"RAUDQ6;10.0";"5MNTT7;16.0";"RAUDQ6;7.5";"Z8KPP8;11.5";"14010TO;4.5";"V7JUQL;4.0";"UHYJ3A;13.5";"IA7X1P;9.5"
E-21-21;A;"I1X92B;11.5";"B24J86;13.0";"AHR20O;7.0";"O9YFO8;6.5";"300FW;9.5";"69L9MX;9.5";"Z8KPP8;11.5";"6M2FJM;6.0";"ZRCYSH;13.0";"56TC1Z;4.5";"6M2FJM;12.5";"69L9MX;7.0";"2T1DJM;5.5";"KUFVRI;9.5";"SSQFQA;6.0";"RAUDQ6;8.0";"ZRCYSH;13.0";"9FWH2G;9.5"
E-23-21;A;"D05ZS7;12.5";"300FW;8.0";"TB6WIP;8.0";"KTDZY0;11.5";"KUFVRI;14.0";"U95NWB;10.0";"JEGRCL;10.0";"10090TO;13.0";"V7JUQL;12.0";"AKP0A7;15.5";"8N10W9;7.5";"KTDZY0;9.5";"IA7X1P;5.0";"8D9SAW;8.5";"U95NWB;7.0";"14010TO;8.0";"B24J86;15.5";"750FW;9.0"
D-14-22;A;"DGAONE;14.5";"10090TO;9.0";"750FW;15.5";"2T1DJM;9.5";"KUFVRI;5.5";"AHR20O;11.0";"56TC1Z;4.0";"8N10W9;6.0";"AHR20O;15.5";"6M2FJM;4.5";"UHYJ3A;15.5";"I2B1FH;15.5";"WGHG3L;11.5";"CD1NU9;10.0";"KTDZY0;14.5";"B24J86;6.5";"JEGRCL;14.5";"O9YFO8;16.0"
D-16-22;A;"D05ZS7;8.0";"56TC1Z;8.5";"5003DD;6.5";"UHYJ3A;15.0";"O9YFO8;5.0";"XUZJ74;6.5";"I1KDJ0;11.0";"14010TO;6.5";"SSQFQA;6.5";"UHYJ3A;9.0";"CD1NU9;12.0";"WRRW1W;4.0";"14010TO;4.0";"10090TO;13.0";"8D9SAW;4.5";"1JT1XB;5.0";"Q50W5L;8.0";"O9YFO8;15.0"
D-18-22;A;"1JT1XB;13.5";"JHSQHS;4.5";"Z8KPP8;15.0";"AHR20O;9.5";"KTDZY0;10.5";"AKP0A7;15.5";"V7JUQL;12.0";"D05ZS7;10.5";"IA7X1P;6.0";"9FWH2G;9.5";"300FW;12.5";"WGHG3L;9.5";"IA7X1P;15.0";"ZRCYSH;4.0";"69L9MX;13.5";"KTDZY0;8.0";"5MNTT7;8.5";"I1X92B;4.5"
D-20-22;A;"D05ZS7;13.5";"RAUDQ6;12.5";"05W6TK;8.0";"7BU1V7;9.5";"UHYJ3A;11.5";"D05ZS7;9.0";"B24J86;13.5";"TNAHD4;16.0";"2T1DJM;15.5";"G8ASPE;8.0";"SSQFQA;14.0";"14010TO;8.5";"I1KDJ0;14.0";"W25EZN;9.5";"KTDZY0;12.0";"TNAHD4;9.5";"AHR20O;13.0";"8D9SAW;9.0"
D-22-22;A;"8D9SAW;12.0";"Q50W5L;5.0";"U95NWB;12.0";"5MNTT7;7.5";"XUZJ74;6.5";"05W6TK;7.5";"XUZJ74;5.0";"69L9MX;14.5";"ZRCYSH;7.5";"U95NWB;14.5";"I1X92B;10.0";"6M2FJM;12.0";"G8ASPE;16.0";"5MNTT7;11.5";"WRRW1W;11.5";"TB6WIP;7.0";"69L9MX;10.5";"D05ZS7;11.0"
D-24-22;A;"JEGRCL;10.0";"W25EZN;7.0";"D05ZS7;14.5";"UHYJ3A;10.0";"V7JUQL;8.5";"I2B1FH;4.0";"RAUDQ6;12.0";"V7JUQL;14.5";"JEGRCL;11.0";"RAUDQ6;4.5";"KTDZY0;15.5";"AKP0A7;7.0";"1JT1XB;5.0";"ZRCYSH;4.5";"8N10W9;6.0";"602SP2AG;16.0";"I1X92B;10.0";"B24J86;15.0"
E-13-22;A;"05W6TK;11.0";"Q50W5L;14.5";"V7JUQL;14.5";"JEGRCL;11.5";"56TC1Z;10.0";"8N10W9;10.0";"56TC1Z;9.5";"5MNTT7;5.0";"9FWH2G;14.0";"AKP0A7;5.0";"W25EZN;13.0";"I1KDJ0;6.0";"B24J86;5.5";"IA7X1P;5.0";"I1KDJ0;12.5";"8D9SAW;15.0";"DGAONE;4.0";"G8ASPE;13.0"
E-15-22;A;"ZRCYSH;6.5";"JEGRCL;11.5";"WGHG3L;8.0";"Q50W5L;10.5";"ZRCYSH;13.0";"602SP2AG;4.0";"56TC1Z;8.0";"TB6WIP;8.5";"V7JUQL;4.5";"Q50W5L;6.5";"JEGRCL;7.0";"I2B1FH;5.5";"WRRW1W;12.5";"2T1DJM;11.5";"6M2FJM;15.5";"AHR20O;5.0";"DGAONE;14.0";"69L9MX;6.5"
E-17-22;A;"W25EZN;10.5";"9FWH2G;5.5";"DGAONE;9.0";"KTDZY0;6.5";"69L9MX;6.0";"G8ASPE;5.5";"I2B1FH;10.5";"JHSQHS;10.5";"Z8KPP8;8.0";"I1KDJ0;10.0";"D05ZS7;14.0";"JEGRCL;14.5";"LXJQVG;4.0";"RAUDQ6;15.5";"602SP2AG;10.0";"V7JUQL;8.5";"8D9SAW;14.5";"IA7X1P;5.5"
E-19-22;A;"KTDZY0;15.5";"5MNTT7;6.0";"2T1DJM;8.0";"2T1DJM;13.5";"RAUDQ6;6.0";"I1KDJ0;16.0";"JHSQHS;13.5";"10090TO;12.0";"1JT1XB;5.5";"750FW;11.5";"G8ASPE;16.0";"602SP2AG;11.5";"XUZJ74;5.5";"10090TO;6.0";"750FW;5.5";"5MNTT7;5.5";"750FW;9.0";"300FW;12.5"
E-21-22;A;"1JT1XB;11.5";"UHYJ3A;11.0";"TB6WIP;16.0";"5MNTT7;11.5";"TBCCF7;13.0";"5MNTT7;12.5";"Q50W5L;11.0";"2T1DJM;5.5";"TB6WIP;16.0";"UHYJ3A;9.0";"5003DD;11.5";"5MNTT7;8.0";"SSQFQA;5.5";"G8ASPE;13.0";"SSQFQA;7.5";"B24J86;15.0";"10090TO;12.0";"JEGRCL;14.5"
E-23-22;A;"B24J86;4.0";"750FW;4.5";"G8ASPE;11.0";"Z8KPP8;5.5";"RAUDQ6;15.5";"KTDZY0;11.0";"9FWH2G;12.5";"602SP2AG;11.0";"U95NWB;11.5";"LXJQVG;13.5";"V7JUQL;9.5";"5003DD;12.0";"5003DD;4.0";"JEGRCL;9.5";"KTDZY0;6.0";"JEGRCL;7.0";"750FW;11.5";"I1KDJ0;8.5"
D-14-23;A;"XUZJ74;15.0";"5003DD;4.0";"AHR20O;13.0";"8N10W9;14.0";"WRRW1W;5.5";"CD1NU9;14.5";"602SP2AG;10.5";"ZRCYSH;11.0";"602SP2AG;4.5";"RAUDQ6;6.0";"6M2FJM;4.5";"5MNTT7;11.0";"KTDZY0;9.5";"TB6WIP;8.0";"SSQFQA;9.0";"WGHG3L;8.5";"602SP2AG;15.0";"TNAHD4;9.5"
D-16-23;A;"U95NWB;7.5";"56TC1Z;11.0";"XUZJ74;15.5";"TB6WIP;4.0";"56TC1Z;11.0";"6M2FJM;14.0";"KUFVRI;12.5";"05W6TK;15.0";"G8ASPE;5.0";"B24J86;9.0";"ZRCYSH;13.0";"D05ZS7;15.0";"U95NWB;13.5";"LXJQVG;12.0";"KUFVRI;9.0";"14010TO;4.0";"JHSQHS;6.5";"B24J86;8.5"
D-18-23;A;"W25EZN;4.5";"10090TO;13.5";"UHYJ3A;12.0";"69L9MX;7.5";"JEGRCL;12.0";"14010TO;10.5";"D05ZS7;7.5";"V7JUQL;4.5";"7BU1V7;12.0";"TNAHD4;14.5";"RAUDQ6;10.0";"602SP2AG;11.0";"I1KDJ0;5.0";"KUFVRI;14.0";"WRRW1W;5.5";"8D9SAW;10.0";"7BU1V7;16.0";"RAUDQ6;15.5"
D-20-23;A;"AKP0A7;5.0";"KTDZY0;10.0";"O9YFO8;5.0";"KTDZY0;10.0";"I1X92B;13.0";"V7JUQL;7.5";"5MNTT7;15.0";"LXJQVG;14.0";"14010TO;4.5";"7BU1V7;4.0";"G8ASPE;15.0";"G8ASPE;10.0";"TNAHD4;6.0";"B24J86;16.0";"UHYJ3A;9.5";"602SP2AG;7.0";"1JT1XB;14.5";"9FWH2G;10.5"
D-22-23;A;"AKP0A7;14.0";"602SP2AG;6.5";"1JT1XB;7.5";"I1KDJ0;13.5";"IA7X1P;12.0";"G8ASPE;8.0";"DGAONE;12.0";"Q50W5L;9.0";"CD1NU9;14.5";"KUFVRI;6.5";"SSQFQA;10.5";"W25EZN;11.5";"602SP2AG;9.0";"TBCCF7;16.0";"JHSQHS;8.0";"I2B1FH;4.0";"7BU1V7;6.0";"I1KDJ0;7.0"
D-24-23;A;"TNAHD4;14.5";"V7JUQL;11.5";"B24J86;9.5";"8N10W9;14.5";"750FW;5.5";"AHR20O;11.5";"KUFVRI;10.5";"TNAHD4;12.0";"AHR20O;14.5";"5MNTT7;4.5";"Z8KPP8;9.0";"9FWH2G;8.0";"AHR20O;12.5";"LXJQVG;16.0";"O9YFO8;11.5";"7BU1V7;9.0";"O9YFO8;4.0";"G8ASPE;15.0"
E-13-23;A;"5MNTT7;14.5";"602SP2AG;7.5";"I1X92B;9.5";"KUFVRI;5.0";"G8ASPE;6.0";"KUFVRI;5.0";"56TC1Z;15.5";"JEGRCL;5.0";"Z8KPP8;10.0";"RAUDQ6;13.0";"8D9SAW;4.0";"WGHG3L;15.0";"WRRW1W;13.0";"V7JUQL;13.0";"I1KDJ0;5.5";"300FW;9.0";"5MNTT7;11.5";"6M2FJM;6.0"
E-15-23;A;"JEGRCL;6.5";"750FW;12.0";"5MNTT7;4.0";"5003DD;7.0";"300FW;11.5";"UHYJ3A;5.0";"TBCCF7;8.0";"D05ZS7;12.5";"5003DD;10.5";"8N10W9;9.0";"10090TO;6.5";"U95NWB;13.0";"05W6TK;4.0";"WRRW1W;11.0";"14010TO;10.0";"9FWH2G;7.0";"8N10W9;8.0";"56TC1Z;4.0"
E-17-23;A;"D05ZS7;5.0";"Q50W5L;15.0";"U95NWB;12.5";"5MNTT7;11.0";"1JT1XB;15.5";"D05ZS7;7.0";"56TC1Z;7.0";"8D9SAW;12.0";"UHYJ3A;4.5";"WGHG3L;15.5";"RAUDQ6;15.5";"10090TO;10.0";"DGAONE;8.5";"KTDZY0;11.0";"5MNTT7;8.5";"Z8KPP8;14.5";"D05ZS7;4.0";"RAUDQ6;8.0"
E-19-23;A;"TB6WIP;10.5";"CD1NU9;11.0";"9FWH2G;6.5";"SSQFQA;6.5";"14010TO;4.0";"B24J86;8.5";"14010TO;14.5";"ZRCYSH;16.0";"6M2FJM;14.5";"LXJQVG;14.0";"U95NWB;6.0";"RAUDQ6;6.5";"7BU1V7;8.5";"9FWH2G;8.0";"V7JUQL;7.0";"2T1DJM;12.5";"8D9SAW;5.5";"6M2FJM;9.0"
E-21-23;A;"1JT1XB;11.5";"JHSQHS;6.0";"602SP2AG;16.0";"SSQFQA;12.5";"B24J86;10.5";"I2B1FH;6.0";"300FW;10.0";"ZRCYSH;4.0";"G8ASPE;9.5";"AKP0A7;4.0";"6M2FJM;5.0";"O9YFO8;12.0";"U95NWB;13.5";"14010TO;15.0";"KTDZY0;13.0";"O9YFO8;6.0";"TBCCF7;6.0";"14010TO;12.5"
E-23-23;A;"56TC1Z;12.0";"I2B1FH;6.0";"TNAHD4;14.0";"D05ZS7;12.5";"RAUDQ6;15.0";"AHR20O;15.5";"XUZJ74;4.5";"8D9SAW;15.0";"6M2FJM;11.0";"DGAONE;15.5";"750FW;13.0";"V7JUQL;11.5";"RAUDQ6;5.0";"SSQFQA;11.5";"ZRCYSH;13.0";"RAUDQ6;10.0";"750FW;5.5";"LXJQVG;4.0"
E-14-11;A;"1JT1XB;10.5";"5MNTT7;4.0";"KUFVRI;9.0";"W25EZN;7.0";"Q50W5L;14.0";"7BU1V7;13.0";"W25EZN;5.0";"TB6WIP;9.0";"8N10W9;11.0";"TBCCF7;8.5";"8N10W9;12.5";"DGAONE;8.5";"8N10W9;4.5";"AHR20O;9.0";"05W6TK;9.5";"750FW;7.5";"300FW;7.0";"8N10W9;5.5"
E-16-11;A;"I1KDJ0;5.0";"7BU1V7;9.5";"IA7X1P;8.0";"LXJQVG;8.0";"2T1DJM;6.5";"IA7X1P;12.0";"10090TO;13.5";"TBCCF7;6.5";"05W6TK;15.0";"750FW;13.5";"TBCCF7;5.0";"AKP0A7;5.0";"V7JUQL;8.5";"AHR20O;7.0";"750FW;14.5";"W25EZN;13.5";"G8ASPE;13.0";"Q50W5L;15.5"
E-18-11;A;"RAUDQ6;6.0";"300FW;7.0";"7BU1V7;12.5";"ZRCYSH;13.0";"05W6TK;15.0";"I1X92B;12.0";"TBCCF7;12.0";"300FW;11.5";"IA7X1P;13.0";"XUZJ74;10.5";"8D9SAW;11.0";"7BU1V7;4.5";"7BU1V7;4.5";"WRRW1W;15.5";"O9YFO8;6.5";"ZRCYSH;12.0";"UHYJ3A;14.0";"7BU1V7;9.5"
E-20-11;A;"5003DD;11.0";"7BU1V7;13.5";"XUZJ74;11.0";"O9YFO8;10.5";"W25EZN;6.5";"05W6TK;12.5";"JHSQHS;12.0";"DGAONE;15.0";"602SP2AG;7.0";"XUZJ74;13.0";"5003DD;11.5";"5MNTT7;5.5";"KTDZY0;4.0";"AKP0A7;16.0";"Z8KPP8;6.5";"602SP2AG;10.5";"U95NWB;10.0";"D05ZS7;12.5"
E-22-11;A;"602SP2AG;6.0";"TB6WIP;13.5";"TNAHD4;7.0";"9FWH2G;7.0";"TNAHD4;16.0";"I1X92B;8.5";"TB6WIP;6.0";"XUZJ74;15.5";"1JT1XB;9.5";"10090TO;7.5";"Q50W5L;4.0";"O9YFO8;16.0";"602SP2AG;12.5";"JEGRCL;8.0";"JEGRCL;15.0";"TNAHD4;9.0";"I1X92B;6.0";"JHSQHS;8.0"
E-24-11;A;"05W6TK;13.0";"56TC1Z;10.5";"602SP2AG;6.5";"1JT1XB;15.5";"602SP2AG;11.5";"WGHG3L;5.5";"JHSQHS;16.0";"JEGRCL;4.5";"Z8KPP8;14.0";"UHYJ3A;15.5";"CD1NU9;7.5";"LXJQVG;7.5";"V7JUQL;15.0";"TNAHD4;11.5";"G8ASPE;4.5";"14010TO;12.5";"I2B1FH;5.0";"TB6WIP;12.0"
F-13-11;A;"UHYJ3A;16.0";"IA7X1P;13.0";"B24J86;12.5";"LXJQVG;15.5";"I1X92B;6.5";"KTDZY0;8.0";"Q50W5L;15.5";"LXJQVG;12.5";"LXJQVG;10.5";"05W6TK;14.0";"6M2FJM;11.0";"300FW;7.0";"KTDZY0;13.5";"I1KDJ0;12.0";"LXJQVG;4.0";"W25EZN;4.5";"WRRW1W;11.5";"SSQFQA;9.5"
F-15-11;A;"G8ASPE;15.0";"TBCCF7;10.5";"2T1DJM;7.5";"IA7X1P;6.5";"9FWH2G;7.0";"AKP0A7;15.0";"U95NWB;16.0";"2T1DJM;6.5";"TNAHD4;7.0";"I2B1FH;12.5";"U95NWB;4.5";"5003DD;15.0";"56TC1Z;7.5";"B24J86;8.5";"TNAHD4;9.0";"D05ZS7;14.0";"I2B1FH;12.0";"I1KDJ0;12.5"
F-17-11;A;"RAUDQ6;9.0";"B24J86;7.0";"602SP2AG;10.5";"I1KDJ0;11.5";"W25EZN;8.5";"CD1NU9;13.5";"10090TO;14.5";"I1X92B;16.0";"V7JUQL;6.5";"I1X92B;11.0";"I1KDJ0;12.5";"Z8KPP8;6.5";"SSQFQA;15.5";"9FWH2G;7.0";"CD1NU9;13.0";"O9YFO8;8.5";"LXJQVG;11.5";"KUFVRI;6.5"
F-19-11;B;"O7TSVL;10.5";"T3NVTG;16.0";"HOUGRO;9.5";"A7MDBC;8.5";"HI2X6U;9.5";"AX7BJ8;10.0";"FJ25W1;4.0";"T3NVTG;16.0";"U8203G;7.0";"KZ5VR3;5.0";"D8AMD3;12.0";"HI2X6U;10.5";"PZUF7K;14.0";"8BSFSA;5.0";"UU4A1K;8.0";"QVFB0Q;6.0";"UNPPMJ;16.0";"1D2ILZ;5.0"
F-21-11;B;"UU4A1K;6.0";"Z26SRT;11.5";"Z26SRT;5.0";"541SP;5.0";"JCNON3;4.0";"ZX6MUV;12.5";"FJ25W1;5.0";"84ABYS;4.5";"XLTRGL;7.0";"U8203G;11.5";"NISP6K;7.0";"9KHDG3;10.5";"84ABYS;10.0";"NJVZEL;8.0";"2700GT;10.0";"Q164T6;13.5";"F73ZE1;9.0";"9KHDG3;11.0"
F-23-11;B;"JCNON3;7.0";"M67GNC;16.0";"HI2X6U;12.0";"JUUL5B;7.0";"N6JU7C;9.5";"IYXV3Z;7.0";"3LQL9L;12.0";"2LPO6D;15.0";"70EPUK;9.0";"X31OGS;13.0";"0LNUOV;13.0";"EUMBM7;9.5";"O7AXAK;13.0";"UNPPMJ;9.5";"V6K6JX;4.0";"XLTRGL;13.0";"XFQ9CP;16.0";"Q164T6;12.0"
E-14-12;A;"RAUDQ6;13.5";"JHSQHS;4.5";"JHSQHS;6.0";"IA7X1P;7.5";"Z8KPP8;10.0";"JEGRCL;7.5";"LXJQVG;11.0";"10090TO;13.0";"10090TO;12.0";"I2B1FH;15.0";"TB6WIP;4.5";"Z8KPP8;13.5";"2T1DJM;9.0";"1JT1XB;13.5";"7BU1V7;16.0";"5MNTT7;6.0";"JHSQHS;11.0";"V7JUQL;12.0"
E-16-12;A;"ZRCYSH;11.0";"56TC1Z;5.5";"300FW;12.5";"2T1DJM;5.5";"LXJQVG;11.0";"7BU1V7;15.5";"DGAONE;10.0";"RAUDQ6;11.0";"10090TO;14.5";"D05ZS7;9.5";"RAUDQ6;9.5";"TNAHD4;12.0";"KTDZY0;12.0";"14010TO;11.0";"XUZJ74;4.5";"5003DD;11.0";"WGHG3L;7.5";"9FWH2G;5.0"
E-18-12;A;"B24J86;8.0";"8N10W9;4.0";"KUFVRI;14.5";"KTDZY0;13.0";"B24J86;5.5";"TBCCF7;4.0";"IA7X1P;14.0";"V7JUQL;7.5";"300FW;9.5";"6M2FJM;8.5";"XUZJ74;15.0";"U95NWB;15.0";"WRRW1W;15.0";"10090TO;11.5";"IA7X1P;5.0";"56TC1Z;10.5";"WRRW1W;5.5";"WGHG3L;13.0"
E-20-12;A;"6M2FJM;9.5";"05W6TK;4.5";"I2B1FH;11.0";"05W6TK;11.5";"8N10W9;7.5";"5003DD;9.5";"6M2FJM;9.0";"O9YFO8;15.5";"LXJQVG;9.0";"I2B1FH;4.5";"KTDZY0;5.5";"I1KDJ0;13.0";"G8ASPE;14.5";"B24J86;13.0";"I2B1FH;9.5";"8N10W9;11.5";"14010TO;14.5";"TB6WIP;15.0"
E-22-12;A;"WGHG3L;8.0";"TB6WIP;13.5";"05W6TK;6.0";"SSQFQA;12.0";"I1KDJ0;13.5";"SSQFQA;11.5";"ZRCYSH;12.5";"V7JUQL;15.0";"602SP2AG;7.5";"14010TO;10.5";"TNAHD4;11.0";"JHSQHS;6.5";"G8ASPE;8.0";"DGAONE;12.5";"LXJQVG;13.0";"W25EZN;11.0";"8D9SAW;12.5";"TNAHD4;7.0"
E-24-12;A;"TBCCF7;9.5";"TBCCF7;8.0";"TB6WIP;16.0";"B24J86;12.0";"TNAHD4;14.5";"Q50W5L;12.0";"TNAHD4;7.0";"AKP0A7;14.5";"6M2FJM;12.0";"14010TO;11.5";"RAUDQ6;10.0";"6M2FJM;4.5";"DGAONE;12.0";"I1KDJ0;16.0";"LXJQVG;13.5";"56TC1Z;6.0";"O9YFO8;13.0";"O9YFO8;5.0"
F-13-12;A;"AKP0A7;12.5";"G8ASPE;16.0";"2T1DJM;5.5";"69L9MX;15.5";"5MNTT7;15.5";"AKP0A7;12.0";"Q50W5L;8.0";"8N10W9;4.5";"LXJQVG;14.5";"5MNTT7;4.0";"Q50W5L;7.0";"5MNTT7;8.5";"5MNTT7;9.0";"1JT1XB;4.0";"Q50W5L;12.0";"69L9MX;15.5";"SSQFQA;4.5";"W25EZN;14.0"
