Location;ABCCOD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
A-18-21;C;"VF006;4.0";"HGXJD0;8.5";"2225XP;10.5";"YN8OHN;7.0";"8732TR;6.0";"VF007;4.5";"VF003;16.0";"5752AG;8.5";"9KZ6W1;11.5";"2005XP;11.0";"2020XPC;13.5";"6NDM0O;6.0";"4161XP;10.0";"7816JV;14.5";"QXS5D1;8.0";"8199JV;7.5";"C5O9C9;5.0";"PP9DNA;11.0"
A-18-22;C;"2261XPC;10.5";"2081XP;4.0";"2161XP;6.0";"ETU70R;4.5";"6300MG;5.5";"6MKIC6;14.0";"12123XPJ;8.0";"02MRUH;8.5";"FQ53YY;6.0";"8733B4;5.5";"4019XPC;9.0";"59220JV;13.5";"JWTWL1;10.5";"7607AF;5.5";"VS5792;15.5";"8736TR;12.0";"W518XY;8.0";"2209XP;10.0"
A-18-23;C;"2161XP;15.0";"C5O9C9;6.5";"7960VI;5.5";"VF001;7.0";"2041XPC;12.0";"VF003;9.5";"12133XPJ;14.5";"5IXVJ1;10.0";"7781JV;5.5";"3120QD;10.5";"IAKTYD;15.0";"QOMHJ2;7.0";"GPBMZJ;15.5";"IAKTYD;7.0";"EAJXUV;16.0";"6300VT;10.5";"RBKNR4;16.0";"VC1711;4.0"
A-20-11;C;"APQKWK;9.5";"2286XP;11.0";"7100B9;10.5";"2149XPC;12.5";"9KZ6W1;14.0";"2019XPC22;7.0";"7580AF;7.5";"12314XP;10.5";"2133XP;16.0";"JCIIEB;9.5";"5P4LRT;5.0";"VT10013;15.5";"QOMHJ2;9.0";"2002XP;11.0";"8736TR;15.0";"2274GT;4.5";"5IXVJ1;8.0";"JCIIEB;4.0"
A-20-12;C;"7972TR;13.5";"QM2UH1;9.5";"7902TR;15.5";"8422FLX;14.0";"F7LULH;11.0";"8622FLX;15.0";"VC1708C;14.5";"VC1711;8.0";"PP9DNA;13.0";"ASG1IT;12.0";"8732TR;9.0";"8746CH;14.5";"EBKM6C;5.0";"2035XP;14.0";"JWTWL1;6.5";"2039XP;8.0";"8736TR;6.0";"7100B9;14.5"
A-20-13;C;"F98BNI;5.0";"RUUOCB;11.5";"XSFSKX;9.0";"H51IVV;6.5";"FQ53YY;13.0";"5750GT;9.0";"ETU70R;15.5";"A19092;9.0";"6N3PKW;15.0";"102SP;13.5";"6300MG;5.0";"4E0KXI;7.0";"2039XP;8.0";"7100B9;13.5";"IPGA7X;15.0";"066BOU;10.5";"H1I7JZ;11.0";"A19092;5.5"
A-20-21;C;"EYEOXS;15.0";"VT10013;5.0";"GPBMZJ;8.5";"2005XP;12.5";"XSFSKX;6.5";"2215XP;5.0";"8733B4;12.0";"EBKM6C;13.5";"5IXVJ1;10.5";"CST1KC;7.0";"6300VT;13.5";"YMN5EM;15.5";"LOTB21;12.5";"NM6C73;15.0";"F0P5OQ;15.0";"122OKQ;4.5";"SVFO5S;11.5";"6300MG;7.0"
A-20-22;C;"5P4LRT;9.5";"7972TR;13.5";"7580AF;8.0";"NM6C73;10.0";"2017XP;5.0";"EYEOXS;12.0";"2005XP;14.0";"EYEOXS;4.0";"7100B9;11.5";"YMN5EM;5.0";"VF008;8.0";"5790AG;16.0";"8622FLX;6.5";"2005XP;10.5";"VF008;13.5";"2005XP;9.5";"IPGA7X;12.5";"800OVF;14.5"
A-20-23;C;"2027XP;13.0";"2005XP;10.0";"2312XPJ;4.5";"SY1DDY;8.5";"HGXJD0;15.5";"YMN5EM;15.0";"QOMHJ2;15.5";"7580AF;4.5";"1A6YTA;7.0";"6MKIC6;6.0";"5790AG;10.5";"ODZZLY;6.5";"2215XP;14.5";"VF002;12.5";"2020XPC;7.5";"VT10010;12.5";"RUUOCB;4.5";"EYEOXS;15.5"
A-22-11;C;"H1I7JZ;11.5";"MLV9BR;14.5";"FQ53YY;16.0";"JGP0ID;7.5";"8733B4;11.5";"2135XP;5.0";"EBKM6C;9.0";"A19092;4.5";"2047XPC;6.0";"IAKTYD;10.5";"2261XPC;14.0";"12314XP;4.0";"12314XP;5.0";"7816JV;12.5";"5651GT;14.0";"5701GTR;13.5";"99433X;11.5";"YN8OHN;5.0"
